ID;Název;Kategorie;Řada;Objem;Výchozí cena;Aktivní;Retail
408;"Vitamino Color Spectrum Maska";Retail;Vitamino Color Spectrum;250 ml;;Ano;Ano
409;"Vitamino Color Spectrum Neutraliz. šampon fialový";Retail;Vitamino Color Spectrum;500 ml;;Ano;Ano
410;"Vitamino Color Spectrum Neutraliz. šampon modrý";Retail;Vitamino Color Spectrum;500 ml;;Ano;Ano
411;"Vitamino Color Spectrum Neutraliz. šampon zelený";Retail;Vitamino Color Spectrum;500 ml;;Ano;Ano
412;"Vitamino Color Spectrum Neutraliz. šampon zelený";Retail;Vitamino Color Spectrum;300 ml;;Ano;Ano
414;"Vitamino Color Spectrum Šampon";Retail;Vitamino Color Spectrum;300 ml;;Ano;Ano
413;"Vitamino Color Spectrum Šampon";Retail;Vitamino Color Spectrum;500 ml;;Ano;Ano
338;"Ostatní Efassor sáček";Speciál;Ostatní;;;Ano;Ne
339;"Ostatní Efassor ubrousky";Speciál;Ostatní;;;Ano;Ne
420;"Hair Touch Up Černá 1-3";Sprej;Hair Touch Up;75 ml;;Ano;Ano
421;"Hair Touch Up Hnědá 3-5";Sprej;Hair Touch Up;75 ml;;Ano;Ano
422;"Hair Touch Up Mahagon 5-6";Sprej;Hair Touch Up;75 ml;;Ano;Ano
423;"Hair Touch Up Světle hnědá 5-6";Sprej;Hair Touch Up;75 ml;;Ano;Ano
424;"Hair Touch Up Tmavá blond 6-7";Sprej;Hair Touch Up;75 ml;;Ano;Ano
425;"Hair Touch Up Zlatá blond 7-9";Sprej;Hair Touch Up;75 ml;;Ano;Ano
426;"Homme Clay";Styling;Homme;50 ml;;Ano;Ano
430;"Tecni.art All-in-1 Performer";Styling;Tecni.art;190 ml;;Ano;Ano
436;"Tecni.art Flex Blowdry";Styling;Tecni.art;150 ml;;Ano;Ano
437;"Tecni.art Flex Curl Bounce";Styling;Tecni.art;150 ml;;Ano;Ano
439;"Tecni.art Flex Liss Control";Styling;Tecni.art;150 ml;;Ano;Ano
440;"Tecni.art Flex Pli";Styling;Tecni.art;190 ml;;Ano;Ano
441;"Tecni.art Flex Waves";Styling;Tecni.art;150 ml;;Ano;Ano
442;"Tecni.art Flex Web";Styling;Tecni.art;190 ml;;Ano;Ano
445;"Tecni.art Volume Panache";Styling;Tecni.art;250 ml;;Ano;Ano
334;"Preparace Dulcia Advanced 0";Trvalá;Preparace;;;Ano;Ne
335;"Preparace Dulcia Advanced 1";Trvalá;Preparace;;;Ano;Ne
336;"Preparace Dulcia Advanced 2";Trvalá;Preparace;;;Ano;Ne
337;"Preparace Dulcia Advanced 3";Trvalá;Preparace;;;Ano;Ne
